leader,id,date,total_amount,group,Grant start date,start_month,type,location
Mao Zedong/Kim Il Sung,22,12/19/75,1,zedong,3/11/10,3,Non-summit,China
Deng Xiaoping/Kim Il Sung,23,5/5/1978 - 5/10/1978,1,deng,2/4/10,3,Non-summit,North Korea
Deng Xiaoping/Kim Il Sung,24,9/8/1978 - 9/13/1978,15,deng,8/3/09,3,Summit,North Korea
Deng Xiaoping/Kim Il Sung,25,5/27/1979 - 6/2/1979,1,deng,11/12/09,2,Non-summit,North Korea
Deng Xiaoping/Kim Il Sung,26,7/17/1979-7/18/1979,1,deng,3/11/10,8,Non-summit,China
Deng Xiaoping/Kim Il Sung,27,10/10/1980?10/16/1980,1,deng,3/11/10,11,Non-summit,North Korea
Deng Xiaoping/Kim Il Sung,28,11/11/80,1,deng,3/11/10,3,Non-summit,China
Deng Xiaoping/Kim Il Sung,29,1/10/1981 - 1/14/1981,1,deng,3/11/10,3,Non-summit,China
Deng Xiaoping/Kim Il Sung,30,11/27/1981-11/28/1981,1,deng,3/11/10,3,Non-summit,China
Deng Xiaoping/Kim Il Sung,31,12/20/1981 - 12/24/1981,1,deng,2/4/10,2,Non-summit,North Korea
Deng Xiaoping/Kim Il Sung,32,4/26/1982 - 4/30/1982,15,deng,8/3/09,8,Summit,North Korea
Deng Xiaoping/Kim Il Sung,33,5/11/1982 - 5/13/1982,1,deng,11/12/09,11,Non-summit,China
Deng Xiaoping/Kim Il Sung,34,9/16/1982 - 9/25/1982,15,deng,3/11/10,3,Summit,China
Deng Xiaoping/Kim Il Sung,35,10/26/1982 - 10/29/1982,1,deng,3/11/10,3,Non-summit,North Korea
Deng Xiaoping/Kim Il Sung,36,12/17/82,1,deng,3/11/10,3,Non-summit,China
Deng Xiaoping/Kim Il Sung,37,5/1/1983 - 5/2/1983,1,deng,3/11/10,2,Non-summit,China
Deng Xiaoping/Kim Il Sung,38,5/20/1983 - 5/25/1983,1,deng,3/11/10,8,Non-summit,North Korea
Deng Xiaoping/Kim Il Sung,39,6/2/1983 - 6/12/1983,15,deng,2/4/10,11,Summit,China
Deng Xiaoping/Kim Il Sung,40,7/6/1983 - 7/7/1983,1,deng,8/3/09,3,Non-summit,China
Deng Xiaoping/Kim Il Sung,41,9/7/1983-9/15/1983,1,deng,11/12/09,3,Non-summit,North Korea
Deng Xiaoping/Kim Il Sung,42,11/20/83,1,deng,3/11/10,3,Non-summit,China
Deng Xiaoping/Kim Il Sung,43,2/7/1984 - 2/14/1984,1,deng,3/11/10,2,Non-summit,China
Deng Xiaoping/Kim Il Sung,44,5/4/1984 - 5/11/1984,1,deng,3/11/10,8,Non-summit,North Korea
Deng Xiaoping/Kim Il Sung,45,8/5/1984 - 8/10/1984,1,deng,3/11/10,11,Non-summit,China
Deng Xiaoping/Kim Il Sung,46,11/26/1984 - 11/28/1984,15,deng,3/11/10,3,Summit,China
